norm_title,Genres,Year,$Worldwide
my mom is a character 3,,2020,34360029.0
the watch,"Comedy, Action, Science Fiction",2012,68267862.0
the marriage escape,"Comedy, Drama",2020,7760946.0
toy story 3,"Animation, Family, Comedy",2010,1066969703.0
winnie the pooh,"Animation, Family, Comedy, Adventure",2011,49871429.0
book of love,Drama,2016,114679097.0
the intruder,Thriller,2019,36599361.0
the boy with pink trousers,,2024,9449929.0
a chinese odyssey part three,"Adventure, Comedy, Family, Fantasy",2016,53306108.0
serial teachers,Comedy,2013,32849727.0
free solo,"Documentary, Adventure",2018,29390279.0
captain america civil war,"Adventure, Action, Science Fiction",2016,1153296293.0
divorce club,Comedy,2020,5316313.0
hotel mumbai,"Thriller, History, Drama, Action",2019,21314816.0
the book of life,"Animation, Adventure, Comedy, Family, Fantasy",2014,99783556.0
a wedding invitation,Romance,2013,30665036.0
dearest 2014 rerelease,,2014,50000583.0
the vault,"Horror, Thriller",2021,8803864.0
the brothers grimsby,"Action, Comedy",2016,27979040.0
maleficent mistress of evil,"Family, Fantasy, Adventure, Action",2019,491730089.0
mojin the worm valley,"Action, Fantasy, Adventure",2018,22381583.0
chef,Comedy,2014,48428048.0
jack reacher,"Crime, Drama, Thriller, Action",2012,218340595.0
norwegian wood,"Drama, Romance",2010,19115721.0
beautiful boy,Drama,2018,31711319.0
get hard,Comedy,2015,111811453.0
sword art online progressive aria of a starless night,"Animation, Action, Fantasy, Science Fiction",2021,14032747.0
bones and all,"Drama, Horror, Romance",2022,15234907.0
i belonged to you,"Romance, Drama",2016,119107580.0
mobile suit gundam hathaway,"Animation, Action, Drama, Science Fiction",2021,18731309.0
the crime is mine,"Crime, Comedy, Mystery, Drama",2023,10473689.0
jujutsu kaisen 0,"Animation, Action, Fantasy",2021,166377561.0
this means war,"Action, Comedy, Romance",2012,156491279.0
the rhythm section,"Action, Thriller",2020,5989583.0
dad,"Family, Comedy",2021,9267397.0
wonder woman 1984,"Action, Adventure, Fantasy",2020,169601036.0
paul,"Adventure, Comedy, Science Fiction",2011,97984015.0
little women,"Drama, Romance, History",2019,220102318.0
afraid,"Horror, Science Fiction, Thriller",2024,12977758.0
winters tale,"Drama, Fantasy, Mystery, Romance",2014,30800231.0
the innocent,"Drama, Romance",2020,5929392.0
silenced,Drama,2011,30996130.0
the hustle,"Comedy, Crime",2019,97409779.0
71 into the fire,War,2010,20967660.0
joy ride,Comedy,2023,15787674.0
ralph breaks the internet,"Family, Animation, Comedy, Adventure",2018,529323962.0
manta manta legacy,"Comedy, Action, Adventure",2023,13078126.0
mile 22,"Action, Thriller",2018,66308758.0
last christmas,"Comedy, Romance",2019,123446172.0
johnny english reborn,"Crime, Action, Comedy",2011,160078586.0
joyful noise,"Comedy, Music",2012,31158113.0
20,"Action, Science Fiction, Fantasy",2018,36945969.0
a silent voice the movie,"Animation, Drama",2016,30021659.0
killers,"Action, Comedy, Thriller, Romance",2010,98159963.0
meg 2 the trench,"Action, Science Fiction, Horror",2023,397800317.0
we made a beautiful bouquet,"Romance, Drama",2021,35042879.0
the tower,"Action, Drama",2012,36512327.0
interstellar 2024 rerelease,,2024,35535308.0
the three musketeers part i dartagnan,"Adventure, Action, Drama, History",2023,32407471.0
my little pony the movie,"Family, Animation, Adventure, Fantasy",2017,60330833.0
underdogs,"Drama, Family",2013,31775719.0
dr cheon and lost talisman,"Fantasy, Mystery",2023,14574445.0
moana,"Adventure, Comedy, Family, Animation",2016,643331111.0
detective conan the scarlet bullet,"Animation, Action, Crime, Mystery, Romance, Thriller",2021,95371578.0
the crimes that bind,"Mystery, Thriller, Crime",2018,23144130.0
arbitrage,"Drama, Thriller",2012,35485056.0
believer,Documentary,2018,39047153.0
parental guidance,Comedy,2012,119772232.0
asteroid city,"Comedy, Drama",2023,53857743.0
ford v ferrari,"Drama, Action, History",2019,225508210.0
imaginary,"Horror, Mystery",2024,43787034.0
machete,"Action, Comedy, Thriller",2010,45491656.0
22 bullets,"Drama, Crime, Thriller",2010,21695883.0
youth in revolt,"Comedy, Romance",2010,19651093.0
the day we lit up the sky,Comedy,2021,22500000.0
the exfile 3 return of the exes,"Romance, Comedy",2017,307592427.0
code blue the movie,"Action, Adventure, Drama",2018,78778562.0
no mans land,"Crime, Drama, Thriller, Western",2013,41807712.0
goodbye mr loser,"Romance, Comedy",2015,228122928.0
total dhamaal,"Comedy, Adventure",2019,26911995.0
the thieves,"Action, Crime",2012,87126367.0
mojin the lost legend,"Action, Adventure, Fantasy",2015,259368448.0
the super mario bros movie,"Animation, Family, Adventure, Fantasy, Comedy",2023,1360847665.0
yolki 2,"Comedy, Romance",2011,28719002.0
blacklight,"Action, Thriller, Drama, Adventure",2022,15902207.0
stand by me doraemon,"Animation, Family, Science Fiction, Fantasy, Adventure",2014,183442714.0
source code,"Thriller, Science Fiction, Mystery",2011,147332697.0
the legend of tarzan,"Fantasy, Action, Adventure",2016,357243061.0
integrity,"Crime, Drama, Mystery",2019,21290004.0
sherlock holmes a game of shadows,"Adventure, Action, Crime, Mystery",2011,543848418.0
ferrari,"History, Drama",2023,43332974.0
bharat,"Drama, Action",2019,33185983.0
s storm,"Crime, Action, Thriller",2016,30381402.0
chhapaak,Drama,2020,6532100.0
hammamet,"Drama, History",2020,6434874.0
bol bachchan,"Comedy, Action",2012,28775262.0
venom let there be carnage,"Science Fiction, Action, Adventure",2021,506813864.0
collectors,"Comedy, Adventure, Crime",2020,12640113.0
isle of dogs,"Adventure, Comedy, Animation",2018,64241499.0
lion,Drama,2016,140312928.0
les blagues de toto,Comedy,2020,8859185.0
out of inferno,"Action, Drama",2013,24109886.0
vampires suck,"Comedy, Fantasy",2010,80547866.0
valentines day,"Comedy, Romance",2010,216485654.0
les misérables,"History, Drama",2012,442299309.0
captain marvel,"Action, Adventure, Science Fiction",2019,1128274794.0
free guy,"Comedy, Adventure, Science Fiction",2021,331526598.0
master,"Action, Comedy",2016,51636415.0
the disaster artist,"Comedy, Drama",2017,29820616.0
we are the nobles,Comedy,2013,26433651.0
overlord the sacred kingdom,"Action, Adventure, Animation, Fantasy",2024,7614966.0
it,"Horror, Thriller",2017,702781748.0
ghost rider spirit of vengeance,"Action, Fantasy, Thriller",2012,132563930.0
furry vengeance,"Family, Comedy",2010,36288132.0
a writers odyssey,"Fantasy, Action, Adventure, Drama",2021,150123320.0
the divergent series insurgent,"Action, Science Fiction, Thriller",2015,297002527.0
a turtles tale sammys adventures,"Animation, Family",2010,70627617.0
baby driver,"Action, Crime",2017,226945087.0
us,"Horror, Thriller",2019,256022707.0
life is beautiful,"Music, Drama, Romance",2022,8458639.0
no strings attached,"Comedy, Romance",2011,149228077.0
fast furious 6,"Action, Thriller, Crime",2013,788679850.0
bridge of spies,"Thriller, Drama",2015,165478348.0
deranged,Horror,2012,28444173.0
bajrangi bhaijaan 2018 rerelease,,2018,45579004.0
valimai,"Action, Crime, Thriller",2022,13276393.0
lets be cops,Comedy,2014,138224951.0
orphan first kill,"Horror, Thriller",2022,37083743.0
lucy,"Action, Science Fiction",2014,458863600.0
the new mutants,"Science Fiction, Horror, Action",2020,49169594.0
the new king of comedy,Comedy,2019,95618308.0
faster,"Crime, Drama, Action, Thriller",2010,35626958.0
mirror mirror,"Adventure, Comedy, Family, Fantasy",2012,183018522.0
the witness,Documentary,2015,33963557.0
diary of a wimpy kid dog days,"Comedy, Family",2012,77229695.0
fleet of time,"Romance, Drama",2014,94244191.0
the beasts,"Fantasy, Adventure",2022,10067896.0
southpaw,"Action, Drama",2015,91970827.0
quo vado,Comedy,2016,75878701.0
a thousand words,,2010,22044277.0
paranormal activity the ghost dimension,"Horror, Thriller",2015,78903124.0
anatomy of a fall,"Thriller, Mystery, Crime",2023,36051506.0
the count of montecristo,"Action, Adventure, Drama",2024,74978738.0
kim jiyoung born 1982,Drama,2019,27696393.0
missing,"Drama, Mystery, Thriller",2023,48767848.0
wotakoi love is hard for otaku,"Comedy, Romance, Music",2020,11702371.0
midnight swan,Drama,2020,6397065.0
i want to eat your pancreas,"Drama, Romance",2017,33748006.0
boonie bears the big shrink,"Animation, Comedy, Adventure, Science Fiction",2018,96845907.0
moss,"Drama, Thriller, Crime, Mystery",2010,21925534.0
the little prince,"Adventure, Animation, Fantasy, Family",2015,97571250.0
2012 2012 rerelease,,2012,21538353.0
the tales for old and young,,2020,4853143.0
the wolf of wall street 2022 rerelease,,2022,15038738.0
the boogeyman,"Horror, Thriller, Mystery",2023,67307243.0
the peasants,"Drama, History, Animation",2023,10064347.0
the possession,"Horror, Thriller, Drama",2012,85446075.0
missing link,"Family, Animation, Comedy, Adventure",2019,26565710.0
pan,"Fantasy, Adventure, Family, Action",2015,128988320.0
my hero academia world heroes mission,"Animation, Action, Adventure, Science Fiction, Fantasy",2021,46940541.0
conquest 1453,"Adventure, Drama, Action, War",2012,35797045.0
a violent prosecutor,,2015,66736633.0
zhongkui snow girl and the dark crystal,"Action, Fantasy, Romance",2015,64325947.0
hijack 1971,"Action, Thriller, Crime",2024,14602614.0
detective conan sunflowers of inferno,"Animation, Crime, Adventure, Mystery",2015,52920296.0
bang bang,"Action, Adventure, Comedy, Romance, Thriller",2014,42045981.0
christmas in south africa,,2010,25362517.0
destiny the tale of kamakura,"Mystery, Drama, Fantasy",2017,35166640.0
black white the dawn of justice,Action,2014,34146896.0
the devil inside,"Horror, Thriller",2012,101758490.0
breakup buddies,"Comedy, Romance",2014,189017596.0
hot road,Drama,2014,22916313.0
my best summer,"Romance, Drama",2019,60011073.0
percy jackson the olympians the lightning thief,"Adventure, Fantasy, Family",2010,226497209.0
wicked little letters,"Comedy, Drama, Mystery",2024,27219729.0
the expendables 2,"Action, Adventure, Thriller",2012,314975955.0
red dawn,"Action, Thriller, War, Drama, Science Fiction",2012,50950296.0
the point men,Action,2023,13433834.0
mavka the forest song,"Animation, Adventure, Family, Fantasy",2023,17974964.0
kevin hart what now,"Comedy, Documentary, TV Movie",2016,23591043.0
fireworks,"Drama, Romance",2017,25672406.0
childs play,"Horror, Thriller",2019,44907074.0
see how they run,"Mystery, Comedy, Crime",2022,21966634.0
gekijouban spec kurôzu zen no hen,"Crime, Mystery, Fantasy",2013,25860404.0
paw patrol the mighty movie,"Animation, Family, Action, Science Fiction, Comedy, Drama, Adventure",2023,204986920.0
she said,"Drama, History",2022,13944212.0
the dark knight rises,"Action, Crime, Drama, Thriller",2012,1084939099.0
silver linings playbook,"Drama, Comedy, Romance",2012,236412453.0
the lady in the van,"Comedy, Drama",2015,41387687.0
dinner for schmucks,Comedy,2010,86855739.0
call me by your name,"Romance, Drama",2017,42142738.0
bts yet to come in cinemas,"Music, Documentary",2023,29291883.0
the smurfs 2,"Fantasy, Family, Comedy, Animation",2013,347545360.0
baahubali 2 the conclusion,"Action, Adventure, Fantasy",2017,254158390.0
hindi medium,"Comedy, Drama",2017,32841493.0
the bye bye man,"Horror, Thriller",2017,29874280.0
fright night,"Horror, Comedy",2011,41002607.0
kaibutsukun the movie,"Comedy, Fantasy",2011,39766344.0
silence,"Drama, History",2016,23834809.0
47 ronin,"Drama, Action, Fantasy",2013,151783839.0
raya and the last dragon,"Animation, Family, Fantasy, Action, Adventure",2021,130423032.0
the snowman,"Crime, Thriller, Mystery, Horror",2017,43084060.0
a piece of cake,"Romance, TV Movie",2020,6008448.0
three heroes on distant shores,"Animation, Comedy",2012,33674759.0
mrs green apple the white lounge,"Documentary, Music",2024,10337403.0
the secret life of pets 2,"Adventure, Animation, Comedy, Family",2019,431164459.0
spiderman into the spiderverse,"Animation, Action, Adventure, Science Fiction",2018,375582637.0
suffragette,"Drama, History",2015,31972096.0
pain gain,"Action, Crime, Comedy",2013,87305549.0
the asadas,"Drama, Comedy",2020,11888743.0
trolls world tour,"Family, Animation, Comedy, Fantasy, Adventure, Music",2020,49276818.0
a cool fish,"Comedy, Thriller, Crime",2018,118153135.0
tomb raider,"Action, Adventure, Fantasy",2018,274950803.0
war horse,"War, History, Adventure",2011,177584879.0
the secret garden,"Family, Fantasy, Drama",2020,8721243.0
indiana jones and the dial of destiny,"Adventure, Action",2023,383963057.0
once upon a time in hong kong,"Action, Crime, Thriller",2021,32218874.0
101 proposals,,2013,31283838.0
yokai watch movie its the secret of birth meow,"Animation, Family, Fantasy, Adventure",2015,51838845.0
a dogs way home,"Drama, Adventure, Family",2019,80708134.0
the perfect guy,"Drama, Thriller",2015,60273173.0
running man,Comedy,2015,68782475.0
conclave,"Thriller, Drama",2024,57908426.0
reminiscence,"Mystery, Science Fiction",2021,16400193.0
when the bough breaks,"Drama, Thriller",2016,30658387.0
les tuche 4,Comedy,2021,19259766.0
guardians of the galaxy vol 2,"Science Fiction, Adventure, Action",2017,863756051.0
terrifier 2,"Horror, Thriller",2022,15067016.0
the sitter,Comedy,2011,34942188.0
monk comes down the mountain,Action,2015,64455686.0
family affairs,Comedy,2022,7330755.0
playing for keeps,"Comedy, Romance",2012,30962335.0
jigsaw,"Horror, Mystery, Thriller",2017,102952888.0
priscilla,"Drama, Romance",2023,33111706.0
upside down,"Romance, Science Fiction, Drama, Fantasy",2012,22187813.0
perfect strangers,"Comedy, Drama",2017,33262366.0
ted,"Comedy, Fantasy",2012,549368315.0
point break,"Action, Adventure, Crime, Thriller",2015,133782481.0
kingdom 2 far and away,"Action, Adventure, War",2022,34963395.0
little white lies,"Comedy, Drama",2010,53319615.0
greenland,"Action, Thriller, Drama",2020,52300000.0
the bremen town musicians,,2023,30835715.0
beastly,"Drama, Fantasy, Romance",2011,43202283.0
shin jigen crayon shinchan the movie,"Animation, Comedy, Action, Adventure, Family, Fantasy, Science Fiction",2023,23920308.0
fury,"War, Drama, Action",2014,211817906.0
one direction this is us 2024 rerelease,,2024,10452473.0
eye in the sky,"Drama, Thriller, War",2016,35259653.0
the fall guy,"Action, Comedy, Romance",2024,181073291.0
ainbo,"Adventure, Animation, Family, Fantasy",2021,10172403.0
jojo rabbit,"Comedy, War, Drama",2019,90335025.0
about time,"Drama, Romance, Fantasy",2013,87100449.0
the place beyond the pines,"Drama, Crime",2013,47052899.0
man on the edge,"Comedy, Crime",2013,25774679.0
how to train your dragon the hidden world,"Animation, Family, Adventure",2019,521799505.0
crouching tiger hidden dragon sword of destiny,"Action, Adventure, Drama",2016,38659039.0
p storm,"Action, Crime",2019,117991727.0
the turning,"Horror, Thriller",2020,19428166.0
resident evil retribution,"Action, Horror, Science Fiction",2012,240159255.0
rowdy rathore,"Action, Comedy, Crime",2012,29342463.0
on the basis of sex,"Drama, History",2018,38673750.0
the happytime murders,"Action, Comedy, Crime",2018,27506452.0
get him to the greek,"Adventure, Comedy, Music",2010,91720255.0
the witch part 1 the subversion,"Action, Mystery, Science Fiction",2018,24340302.0
resident evil the final chapter,"Action, Horror, Science Fiction",2016,312242626.0
i tonya,"Drama, Comedy",2017,53939297.0
dear john,"Drama, Romance, War",2010,114991723.0
black panther,"Action, Adventure, Science Fiction",2018,1346913161.0
red 2,"Action, Comedy, Crime, Thriller",2013,148075565.0
cindy la regia,"Comedy, Romance",2020,5222322.0
crimson peak,,2014,74679822.0
one night surprise,"Comedy, Romance",2013,26220159.0
madeas big happy family,"Comedy, Drama",2011,54161287.0
minions the rise of gru,"Animation, Comedy, Family, Adventure",2022,940203765.0
holmes watson,"Comedy, Mystery, Crime",2018,40466970.0
the house that never dies,"Drama, Horror, Romance, Mystery",2014,65220000.0
despicable me 2,"Animation, Comedy, Family",2013,970766005.0
selfless,"Science Fiction, Mystery, Thriller, Action",2015,31807156.0
the last warrior root of evil,"Fantasy, Adventure, Comedy",2021,28357398.0
show dogs,"Adventure, Crime, Family, Comedy",2018,39156854.0
a walk in the woods,"Adventure, Comedy, Drama",2015,37461274.0
confidential assignment,"Action, Drama",2017,55972241.0
ducobu 3,"Comedy, Family",2020,12157793.0
chips,"Action, Comedy, Crime",2017,26800152.0
architecture 101,"Comedy, Romance",2012,26642354.0
whats in a name,Comedy,2012,31303580.0
as above so below,"Horror, Thriller",2014,41898409.0
kolpaçino 4 4lük,Comedy,2024,7343114.0
heaven is for real,Drama,2014,101888019.0
stree 2,"Horror, Comedy",2024,7387498.0
alibicom,"Comedy, Family",2017,29370592.0
65,"Action, Adventure, Science Fiction",2023,60730568.0
the nun ii,Horror,2023,269667073.0
kidnap,"Drama, Thriller",2017,34814102.0
heartbreaker,"Romance, Comedy",2010,48023509.0
air,"Drama, History",2023,90060106.0
interstellar,"Adventure, Drama, Science Fiction",2014,681070397.0
made in abyss dawn of the deep soul,"Animation, Adventure, Fantasy, Mystery, Drama, Science Fiction",2020,4971635.0
bumblebee,"Action, Adventure, Science Fiction",2018,467989645.0
kokowääh,Comedy,2011,50447784.0
the invisible guest,"Drama, Mystery, Thriller",2017,31191910.0
paranormal activity 3,"Horror, Mystery",2011,207039844.0
end of watch,"Crime, Drama, Thriller",2012,55078146.0
league of gods,"Action, Fantasy",2016,43498766.0
soulmate,"Romance, Drama",2016,24684439.0
conference of animals,,2010,51883642.0
a cure for wellness,"Horror, Mystery, Science Fiction",2017,26620002.0
life of pi,"Adventure, Drama",2012,609016565.0
xmen first class,"Action, Science Fiction, Adventure",2011,352616690.0
secret zoo,"Comedy, Drama",2020,9471940.0
monster trucks,"Action, Comedy, Science Fiction",2016,64493915.0
poltergeist,Horror,2015,95437994.0
pokémon,"Animation, Family, Action, Adventure, Drama, Fantasy",2013,32293377.0
the inbetweeners 2,Comedy,2014,63852235.0
dawn of the planet of the apes,"Science Fiction, Action, Drama, Thriller",2014,710644566.0
total recall,"Action, Science Fiction, Thriller",2012,198467168.0
2016 obamas america,Documentary,2012,33449086.0
the grey,"Drama, Thriller, Action, Adventure",2012,79781695.0
hunt,Drama,2022,33821338.0
kamen rider ooo wonderful the shogun and the 21 core medals,"Action, Adventure, History, Science Fiction",2011,22313925.0
twilight of the warriors walled in,"Action, Adventure, Crime, Thriller",2024,17111121.0
american ultra,"Action, Comedy",2015,27262374.0
dangal,"Drama, Family, Comedy, Action",2016,303726694.0
doctor strange,"Action, Adventure, Fantasy",2016,677718395.0
office christmas party,Comedy,2016,114501299.0
pain and glory,Drama,2019,37359689.0
parallel mothers,Drama,2021,23099858.0
boyhood,Drama,2014,48137666.0
kokkurisan gekijôban,,2010,37982240.0
the faces of my gene,"Drama, Comedy",2018,26796279.0
twiceborn,Drama,2020,5880157.0
47 meters down,Horror,2017,62187529.0
rons gone wrong,"Animation, Science Fiction, Family, Comedy",2021,60692022.0
unfair the answer,"Action, Thriller, Mystery",2011,29166054.0
love you forever,"Romance, Family, Fantasy, Drama",2020,60670799.0
maxxxine,"Horror, Mystery, Thriller",2024,22057160.0
gullivers travels,"Family, Comedy, Adventure, Fantasy",2010,237382724.0
father stu,Drama,2022,21592379.0
listy do m pozegnania i powroty,"Comedy, Romance",2024,9440754.0
goosebumps,"Adventure, Horror, Comedy",2015,158260952.0
the dark knight rises 2024 rerelease,,2024,29685650.0
kingsman the golden circle,"Action, Adventure, Comedy",2017,410902662.0
fantastica a boonie bears adventure,"Animation, Fantasy, Family, Action",2017,77151096.0
astral city a spiritual journey,Drama,2010,21218935.0
the woman in black 2 angel of death,"Thriller, Horror, Drama",2015,48854305.0
about her brother,"Comedy, Drama",2010,19969473.0
titanic 2012 3d release,,2012,350449521.0
just call me nobody,Comedy,2010,23705022.0
the light between oceans,"Drama, Romance",2016,25975621.0
chronicle,"Science Fiction, Drama, Thriller",2012,126636097.0
step up 3d,"Drama, Romance",2010,159291809.0
pokémon zoroark master of illusions,"Family, Animation, Adventure, Fantasy",2010,71143529.0
doraemon the movie nobita and the birth of japan,"Animation, Adventure, Fantasy, Science Fiction, Family",2016,50939840.0
lost found,"Drama, Family",2018,41043552.0
the host,"Action, Adventure, Science Fiction",2013,63365859.0
jersey boys,"Music, Drama",2014,67647013.0
j edgar,"Drama, Crime, History",2011,84920539.0
beast,"Thriller, Action, Horror",2022,59095809.0
the book thief,Drama,2013,76586316.0
come play,"Horror, Mystery, Thriller",2020,13182254.0
interstellar 2020 rerelease,,2020,19990000.0
crazy stupid love,"Comedy, Drama, Romance",2011,145051197.0
the exorcist believer,"Horror, Thriller",2023,136294607.0
laidback camp movie,"Animation, Comedy",2022,7317913.0
downton abbey a new era,"Drama, Romance, History, Mystery",2022,92651384.0
a strange house,"Thriller, Mystery",2024,30864331.0
la la land,"Comedy, Drama, Romance, Music",2016,447407695.0
jupiter ascending,"Science Fiction, Fantasy, Action",2015,184287723.0
detective conan the bride of halloween,"Animation, Action, Crime, Mystery",2022,72699093.0
potiche,Comedy,2010,32309881.0
long days journey into night,"Drama, Mystery",2018,42140994.0
what did you eat yesterday,"Drama, Romance",2021,11320893.0
hard hit,"Action, Crime, Drama, Thriller",2021,7658021.0
the woman king,"Action, Drama, History",2022,97562514.0
inception 10th anniversary rerelease,,2020,9581100.0
bullet train,"Action, Comedy, Thriller",2022,239268602.0
sp the motion picture i,,2010,39674739.0
here,Drama,2024,14032045.0
paddington,"Comedy, Adventure, Family",2014,268047808.0
avengers endgame,"Adventure, Science Fiction, Action",2019,2799439100.0
blue lock episode nagi,"Animation, Action, Drama",2024,14291561.0
attack on titan the movie the last attack,"Animation, Action, Drama",2024,7796800.0
doraemon nobitas chronicle of the moon exploration,"Animation, Adventure, Comedy, Science Fiction, Fantasy, Family",2019,65406606.0
pompeii,"Action, Adventure, History, Romance, Drama",2014,117831631.0
always sunset on third street 64,"Comedy, Drama",2012,40923305.0
